MEDV,id
4.526,1
3.585,2
3.521,3
3.413,4
3.422,5
2.697,6
2.992,7
2.414,8
2.267,9
2.611,10
2.815,11
2.418,12
2.135,13
1.913,14
1.592,15
1.4,16
1.525,17
1.555,18
1.587,19
1.629,20
1.475,21
1.598,22
1.139,23
0.997,24
1.326,25
1.075,26
0.938,27
1.055,28
1.089,29
1.32,30
1.223,31
1.152,32
1.104,33
1.049,34
1.097,35
0.972,36
1.045,37
1.039,38
1.914,39
1.76,40
1.554,41
1.5,42
1.188,43
1.888,44
1.844,45
1.823,46
1.425,47
1.375,48
1.875,49
1.125,50
1.719,51
0.938,52
0.975,53
1.042,54
0.875,55
0.831,56
0.875,57
0.853,58
0.803,59
0.6,60
0.757,61
0.75,62
0.861,63
0.761,64
0.735,65
0.784,66
0.844,67
0.813,68
0.85,69
1.292,70
0.825,71
0.952,72
0.75,73
0.675,74
1.375,75
1.775,76
1.021,77
1.083,78
1.125,79
1.313,80
1.625,81
1.125,82
1.125,83
1.375,84
1.188,85
0.982,86
1.188,87
1.625,88
1.375,89
5.00001,90
1.625,91
1.375,92
1.625,93
1.875,94
1.792,95
1.3,96
1.838,97
1.25,98
1.7,99
1.931,100
2.578,101
2.734,102
2.375,103
3.5,104
3.357,105
3.134,106
2.685,107
2.594,108
2.757,109
2.25,110
2.625,111
2.185,112
2.55,113
2.241,114
2.431,115
2.316,116
2.185,117
2.341,118
3.276,119
3.476,120
3.661,121
3.35,122
3.736,123
3.895,124
3.911,125
3.373,126
2.952,127
2.923,128
4.115,129
3.115,130
3.259,131
3.926,132
3.193,133
3.333,134
3.352,135
3.512,136
3.689,137
3.659,138
3.667,139
3.628,140
4.833,141
3.314,142
3.235,143
2.167,144
2.331,145
2.964,146
2.737,147
2.277,148
1.996,149
2.398,150
2.701,151
3.021,152
2.695,153
3.147,154
3.901,155
4.103,156
3.524,157
2.873,158
3.487,159
2.438,160
2.115,161
2.184,162
2.699,163
2.188,164
2.25,165
2.5,166
1.714,167
1.938,168
1.25,169
0.975,170
1.25,171
1.388,172
1.167,173
1.518,174
1.27,175
1.286,176
1.406,177
1.827,178
1.469,179
1.228,180
1.693,181
1.266,182
1.279,183
1.235,184
1.119,185
1.128,186
1.079,187
1.375,188
1.055,189
0.955,190
1.161,191
1.122,192
0.75,193
1.125,194
1.25,195
1.15,196
0.95,197
0.964,198
0.72,199
0.713,200
0.808,201
1.288,202
1.125,203
1.194,204
1.181,205
1.225,206
1.063,207
1.325,208
1.227,209
1.133,210
1.095,211
1.647,212
1.25,213
1.247,214
1.367,215
1.417,216
1.5,217
1.388,218
1.392,219
1.438,220
1.565,221
1.51,222
2.73,223
2.171,224
1.871,225
2.396,226
2.297,227
2.573,228
2.469,229
1.799,230
1.696,231
2.033,232
2.634,233
2.318,234
1.405,235
1.26,236
1.22,237
1.347,238
1.394,239
1.154,240
1.373,241
1.37,242
1.426,243
1.375,244
1.117,245
1.268,246
1.113,247
1.148,248
1.023,249
1.319,250
1.191,251
0.806,252
0.806,253
0.888,254
1.024,255
0.987,256
1,257
0.923,258
0.948,259
1.02,260
1.584,261
1.216,262
1.291,263
1.214,264
1.028,265
1.6,266
1.439,267
1.512,268
1.644,269
1.565,270
2.25,271
1.742,272
1.669,273
1.635,274
2.53,275
2.407,276
2.081,277
1.981,278
1.728,279
3.367,280
3.182,281
2.858,282
2.93,283
3.71,284
1.573,285
1.353,286
1.367,287
1.607,288
1.406,289
1.44,290
1.619,291
1.563,292
1.76,293
1.458,294
1.419,295
0.907,296
0.906,297
1.079,298
1.07,299
0.982,300
0.895,301
0.938,302
0.967,303
0.975,304
0.973,305
0.912,306
0.914,307
0.962,308
1.201,309
1,310
0.947,311
0.857,312
0.893,313
1.014,314
0.725,315
0.741,316
0.7,317
0.846,318
0.818,319
0.814,320
0.818,321
0.858,322
0.871,323
0.835,324
0.797,325
0.834,326
0.847,327
0.8,328
0.764,329
0.797,330
0.824,331
0.977,332
0.972,333
1.016,334
0.865,335
0.905,336
1.076,337
0.842,338
0.889,339
0.807,340
0.871,341
0.851,342
0.82,343
0.828,344
0.846,345
0.821,346
0.893,347
0.983,348
0.923,349
0.888,350
0.9,351
0.955,352
0.917,353
1.004,354
0.948,355
1.643,356
1.555,357
1.969,358
2.791,359
2.528,360
2.754,361
2.5,362
3.298,363
1.955,364
2.559,365
3.111,366
3.3,367
2.489,368
1.429,369
1.263,370
1.358,371
1.306,372
1.079,373
1.111,374
1.22,375
1.18,376
0.952,377
0.943,378
0.925,379
0.918,380
1.094,381
1.295,382
1.434,383
0.982,384
1.031,385
2.768,386
2.709,387
2.462,388
2.242,389
2.291,390
2.116,391
2.561,392
2.063,393
2.213,394
2.074,395
3.5,396
2.182,397
2.167,398
2.706,399
2.614,400
2.613,401
2.322,402
3.754,403
3.573,404
3.744,405
3.588,406
4.175,407
4.305,408
3.629,409
3.97,410
3.468,411
3.271,412
2.901,413
2.92,414
2.709,415
3.711,416
3.356,417
3.713,418
3.44,419
3.422,420
3.709,421
3.5,422
3.686,423
3.918,424
4.153,425
2.849,426
2.875,427
2.729,428
2.596,429
2.545,430
2.356,431
2.184,432
2.292,433
1.921,434
1.793,435
1.875,436
1.388,437
1.5,438
1.406,439
1.2,440
1.448,441
1.448,442
2.455,443
2,444
1.737,445
1.856,446
1.826,447
2.279,448
2.207,449
2.12,450
2.714,451
2.688,452
2.778,453
3.325,454
3.389,455
2.875,456
3.846,457
3.714,458
3.5,459
5.00001,460
1.75,461
2.417,462
2.167,463
2.113,464
2.102,465
1.964,466
1.917,467
1.823,468
1.75,469
1.659,470
1.569,471
1.643,472
1.5,473
1.505,474
1.699,475
1.474,476
1.527,477
1.827,478
1.793,479
1.577,480
1.531,481
2.5,482
2.063,483
2.188,484
1.982,485
2.536,486
2.574,487
2.895,488
2.417,489
4.896,490
4.462,491
4.563,492
3.368,493
5.00001,494
5.00001,495
3.769,496
3.096,497
1.823,498
1.727,499
1.508,500
1.536,501
1.063,502
1.423,503
1.194,504
1.479,505
1.329,506
1.325,507
1.269,508
1.438,509
5.00001,510
5.00001,511
5.00001,512
5.00001,513
4.661,514
5.00001,515
4.578,516
4.716,517
5.00001,518
3.986,519
3.407,520
2.899,521
3.353,522
3.33,523
2.41,524
1.896,525
2.063,526
2.157,527
2.102,528
2.088,529
1.979,530
2.013,531
1.908,532
2.079,533
2.153,534
2.129,535
2.927,536
2.75,537
2,538
1.734,539
1.022,540
2.208,541
2.428,542
2.654,543
2.19,544
2.821,545
3.72,546
2.258,547
2.208,548
2.345,549
2.542,550
3.518,551
2.75,552
4.054,553
2.281,554
2.34,555
1.625,556
2.434,557
2.738,558
2.485,559
2.44,560
2.409,561
3.063,562
2.4,563
2.471,564
2.866,565
2.667,566
2.298,567
2.293,568
2.284,569
2.062,570
3.507,571
2.31,572
2.529,573
3.539,574
2.917,575
1,576
3.416,577
4.125,578
2.486,579
2.549,580
2.415,581
2.952,582
3.404,583
2.747,584
2.386,585
2.664,586
3.302,587
2.068,588
2.092,589
1.958,590
2.535,591
2.418,592
2.525,593
2.639,594
2.27,595
2.209,596
2.593,597
2.325,598
2.316,599
2.094,600
2.232,601
2.099,602
2.082,603
2.038,604
1.957,605
1.905,606
1.81,607
1.849,608
1.908,609
2.422,610
1.883,611
1.835,612
2.042,613
2.519,614
1.875,615
1.982,616
2.19,617
2.75,618
2.454,619
1.775,620
1.716,621
1.833,622
1.75,623
1.567,624
1.575,625
1.798,626
2.055,627
1.789,628
2.625,629
1.65,630
1.597,631
1.583,632
1.448,633
1.663,634
1.91,635
1.75,636
1.375,637
1.417,638
2.109,639
1.983,640
1.574,641
2.647,642
2.184,643
2.351,644
3.418,645
3.673,646
2.435,647
1.679,648
3.712,649
2.189,650
2.027,651
1.862,652
1.889,653
1.8,654
2.027,655
1.817,656
1.668,657
1.837,658
2.18,659
1.915,660
1.947,661
1.872,662
2.231,663
2.713,664
1.941,665
1.904,666
1.891,667
1.846,668
1.973,669
1.926,670
1.922,671
1.946,672
1.935,673
2.026,674
0.833,675
2.126,676
1.878,677
2.057,678
1.929,679
