SalesOrderID,SalesOrderDetailID,CarrierTrackingNumber,OrderQty,ProductID,SpecialOfferID,UnitPrice,UnitPriceDiscount,LineTotal,rowguid,ModifiedDate
43659,1,4911-403C-98,1,776,1,2024.994,0.00,2024.994000,B207C96D-D9E6-402B-8470-2CC176C42283,2011-05-31 00:00:00.000
43659,2,4911-403C-98,3,777,1,2024.994,0.00,6074.982000,7ABB600D-1E77-41BE-9FE5-B9142CFC08FA,2011-05-31 00:00:00.000
43659,3,4911-403C-98,1,778,1,2024.994,0.00,2024.994000,475CF8C6-49F6-486E-B0AD-AFC6A50CDD2F,2011-05-31 00:00:00.000
43659,4,4911-403C-98,1,771,1,2039.994,0.00,2039.994000,04C4DE91-5815-45D6-8670-F462719FBCE3,2011-05-31 00:00:00.000
43659,5,4911-403C-98,1,772,1,2039.994,0.00,2039.994000,5A74C7D2-E641-438E-A7AC-37BF23280301,2011-05-31 00:00:00.000
43659,6,4911-403C-98,2,773,1,2039.994,0.00,4079.988000,CE472532-A4C0-45BA-816E-EEFD3FD848B3,2011-05-31 00:00:00.000
43659,7,4911-403C-98,1,774,1,2039.994,0.00,2039.994000,80667840-F962-4EE3-96E0-AECA108E0D4F,2011-05-31 00:00:00.000
43659,8,4911-403C-98,3,714,1,28.8404,0.00,86.521200,E9D54907-E7B7-4969-80D9-76BA69F8A836,2011-05-31 00:00:00.000
43659,9,4911-403C-98,1,716,1,28.8404,0.00,28.840400,AA542630-BDCD-4CE5-89A0-C1BF82747725,2011-05-31 00:00:00.000
43659,10,4911-403C-98,6,709,1,5.70,0.00,34.200000,AC769034-3C2F-495C-A5A7-3B71CDB25D4E,2011-05-31 00:00:00.000
43659,11,4911-403C-98,2,712,1,5.1865,0.00,10.373000,06A66921-6B9F-4199-A912-DDAFD383472B,2011-05-31 00:00:00.000
43659,12,4911-403C-98,4,711,1,20.1865,0.00,80.746000,0E371EE3-253E-4BB0-B813-83CF4224F972,2011-05-31 00:00:00.000
43660,13,6431-4D57-83,1,762,1,419.4589,0.00,419.458900,419A1302-AC7A-4044-97B2-66D9D14CD02E,2011-05-31 00:00:00.000
43660,14,6431-4D57-83,1,758,1,874.794,0.00,874.794000,5D0B2B03-1D4C-4C34-9696-C14C58E7301C,2011-05-31 00:00:00.000
43661,15,4E0A-4F89-AE,1,745,1,809.76,0.00,809.760000,EDE1759E-6733-4C7B-A43F-DC6F48002D8A,2011-05-31 00:00:00.000
43661,16,4E0A-4F89-AE,1,743,1,714.7043,0.00,714.704300,FE10BF09-D477-485B-9541-27AE8053A6D4,2011-05-31 00:00:00.000
43661,17,4E0A-4F89-AE,2,747,1,714.7043,0.00,1429.408600,B136852E-24C9-4006-8048-B14AEFE6C337,2011-05-31 00:00:00.000
43661,18,4E0A-4F89-AE,4,712,1,5.1865,0.00,20.746000,F0F410B6-BC93-4D77-B70D-E4E2465D98EE,2011-05-31 00:00:00.000
43661,19,4E0A-4F89-AE,4,715,1,28.8404,0.00,115.361600,AE4CDA7D-9B6E-4ABB-A391-E9E9DDB10125,2011-05-31 00:00:00.000
43661,20,4E0A-4F89-AE,2,742,1,722.5949,0.00,1445.189800,054A9D3B-A178-4656-B2B0-9B9BDDF1C345,2011-05-31 00:00:00.000
43661,21,4E0A-4F89-AE,3,775,1,2024.994,0.00,6074.982000,8C342A15-8576-4581-AAC9-7BA3BBD8FD8B,2011-05-31 00:00:00.000
43661,22,4E0A-4F89-AE,2,778,1,2024.994,0.00,4049.988000,B2760B75-3F1A-4DC4-A377-1051C03C8EB8,2011-05-31 00:00:00.000
43661,23,4E0A-4F89-AE,2,711,1,20.1865,0.00,40.373000,935A70B5-33AD-473D-921C-8D2C36F0D93E,2011-05-31 00:00:00.000
43661,24,4E0A-4F89-AE,2,741,1,818.70,0.00,1637.400000,2F911593-E3B8-4ADF-B757-7242004FFB8E,2011-05-31 00:00:00.000
43661,25,4E0A-4F89-AE,4,776,1,2024.994,0.00,8099.976000,E8E15B60-3A73-4507-9368-A4FB27B6EE0B,2011-05-31 00:00:00.000
43661,26,4E0A-4F89-AE,2,773,1,2039.994,0.00,4079.988000,4373070F-4EBF-4C50-9DB0-96BFBE937383,2011-05-31 00:00:00.000
43661,27,4E0A-4F89-AE,2,716,1,28.8404,0.00,57.680800,D87D5EDB-B899-4E31-B974-06617DBFFE08,2011-05-31 00:00:00.000
43661,28,4E0A-4F89-AE,2,777,1,2024.994,0.00,4049.988000,C5762004-DE9E-4339-95E5-89CC8FFF873E,2011-05-31 00:00:00.000
43661,29,4E0A-4F89-AE,5,708,1,20.1865,0.00,100.932500,6C0D0601-76FF-441D-86D5-8343EB0063E7,2011-05-31 00:00:00.000
43662,30,2E53-4802-85,3,764,1,419.4589,0.00,1258.376700,2DFD4D76-E020-4B80-A0A5-6463D0C2DF73,2011-05-31 00:00:00.000
